slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
20000	23	3681	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	4065	0	53090	147	30	117	57302	0	0	0	0	0	0.0	0.0	0.0	0.0
20001	23	3937	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	3231	0	52684	224	51	173	56139	0	0	0	0	0	0.0	0.0	0.0	0.0
20002	25	97	1	0	0	0	0	1	0	1024	0	5120	9216	9216	0	15360	1404	0	12618	23089	22973	116	37111	0	0	0	0	0	0.0	0.0	0.0	0.0
20003	26	97	0	0	64	128	16	1	6144	1024	2048	211968	5120	5120	0	220160	2339	5673	531104	11751	11621	130	550867	1	256	295474	235186	444	118089.40423005917	93994.64800033403	177.44943879375603	828.4533290249734
20004	27	129	0	0	64	128	16	1	6144	0	1024	149504	3072	3072	0	153600	2398	1564	375396	6644	6357	287	386002	1	256	202099	173076	221	80420.3252832887	68871.33641794602	87.941513256408	583.170553520448
20005	28	97	4	0	0	0	0	1	0	1024	0	47104	0	0	0	48128	1320	0	119781	146	30	116	121247	0	0	0	0	0	0.0	0.0	0.0	0.0
20006	30	97	1	0	0	0	0	1	0	1024	0	4096	7168	7168	0	12288	1261	0	11334	18973	18856	117	31568	0	0	0	0	0	0.0	0.0	0.0	0.0
20007	34	97	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1224	0	1812	192	30	162	3228	0	0	0	0	0	0.0	0.0	0.0	0.0
20008	34	353	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1747	0	1597	148	32	116	3492	0	0	0	0	0	0.0	0.0	0.0	0.0
20009	34	609	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1401	0	1603	146	30	116	3150	0	0	0	0	0	0.0	0.0	0.0	0.0
20010	34	865	2	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1127	0	1483	146	30	116	2756	0	0	0	0	0	0.0	0.0	0.0	0.0
20011	34	1121	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1678	0	1563	146	30	116	3387	0	0	0	0	0	0.0	0.0	0.0	0.0
20012	34	1377	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1135	0	1581	148	32	116	2864	0	0	0	0	0	0.0	0.0	0.0	0.0
20013	34	1633	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1381	0	1585	146	30	116	3112	0	0	0	0	0	0.0	0.0	0.0	0.0
20014	34	1889	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1707	0	1308	146	30	116	3161	0	0	0	0	0	0.0	0.0	0.0	0.0
20015	34	2145	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1749	0	1537	147	31	116	3433	0	0	0	0	0	0.0	0.0	0.0	0.0
20016	34	2401	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1700	0	1578	148	32	116	3426	0	0	0	0	0	0.0	0.0	0.0	0.0
20017	34	2657	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	610	0	1700	146	30	116	2456	0	0	0	0	0	0.0	0.0	0.0	0.0
20018	34	2913	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1691	0	1543	146	30	116	3380	0	0	0	0	0	0.0	0.0	0.0	0.0
20019	34	3169	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1196	0	1551	148	32	116	2895	0	0	0	0	0	0.0	0.0	0.0	0.0
20020	34	3425	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1689	0	1564	146	30	116	3399	0	0	0	0	0	0.0	0.0	0.0	0.0
20021	34	3681	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1182	0	1541	149	32	117	2872	0	0	0	0	0	0.0	0.0	0.0	0.0
20022	34	3937	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1685	0	1311	146	30	116	3142	0	0	0	0	0	0.0	0.0	0.0	0.0
20023	35	97	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1282	0	1827	408	30	378	3517	0	0	0	0	0	0.0	0.0	0.0	0.0
20024	35	353	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1726	0	1529	146	30	116	3401	0	0	0	0	0	0.0	0.0	0.0	0.0
20025	35	609	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1368	0	1571	146	30	116	3085	0	0	0	0	0	0.0	0.0	0.0	0.0
20026	35	865	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	813	0	1806	146	30	116	2765	0	0	0	0	0	0.0	0.0	0.0	0.0
20027	37	97	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1367	0	951	148	30	118	2466	0	0	0	0	0	0.0	0.0	0.0	0.0
20028	37	353	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1139	0	986	146	30	116	2271	0	0	0	0	0	0.0	0.0	0.0	0.0
20029	37	609	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1376	0	959	146	30	116	2481	0	0	0	0	0	0.0	0.0	0.0	0.0
20030	37	865	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1648	0	960	405	30	375	3013	0	0	0	0	0	0.0	0.0	0.0	0.0
20031	36	97	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	2164	0	1223	148	30	118	3535	0	0	0	0	0	0.0	0.0	0.0	0.0
20032	36	353	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	2424	0	1191	146	30	116	3761	0	0	0	0	0	0.0	0.0	0.0	0.0
20033	36	609	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	591	0	946	150	34	116	1687	0	0	0	0	0	0.0	0.0	0.0	0.0
20034	36	865	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1628	0	979	398	30	368	3005	0	0	0	0	0	0.0	0.0	0.0	0.0
20035	38	97	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1799	0	53880	146	30	116	55825	0	0	0	0	0	0.0	0.0	0.0	0.0
20036	38	353	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	2076	0	51203	154	35	119	53433	0	0	0	0	0	0.0	0.0	0.0	0.0
20037	38	609	5	0	0	0	0	1	0	0	0	21504	0	0	0	21504	1274	0	52703	149	32	117	54126	0	0	0	0	0	0.0	0.0	0.0	0.0
20038	38	865	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	2084	0	52019	152	32	120	54255	0	0	0	0	0	0.0	0.0	0.0	0.0
20039	38	1121	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	2276	0	50986	154	34	120	53416	0	0	0	0	0	0.0	0.0	0.0	0.0
20040	38	1377	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	2389	0	51398	147	31	116	53934	0	0	0	0	0	0.0	0.0	0.0	0.0
20041	38	1633	5	0	0	0	0	1	0	0	0	20480	1024	0	1024	21504	1940	0	51759	146	30	116	53845	0	0	0	0	0	0.0	0.0	0.0	0.0
20042	38	1889	5	0	0	0	0	1	0	0	0	21504	0	0	0	21504	1072	0	54560	154	30	124	55786	0	0	0	0	0	0.0	0.0	0.0	0.0
20043	38	2145	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	2246	0	52458	148	30	118	54852	0	0	0	0	0	0.0	0.0	0.0	0.0
20044	38	2401	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1638	0	54246	146	30	116	56030	0	0	0	0	0	0.0	0.0	0.0	0.0
20045	38	2657	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1828	0	54704	146	30	116	56678	0	0	0	0	0	0.0	0.0	0.0	0.0
20046	38	2913	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	2930	0	52909	152	30	122	55991	0	0	0	0	0	0.0	0.0	0.0	0.0
20047	38	3169	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	3072	0	53537	146	30	116	56755	0	0	0	0	0	0.0	0.0	0.0	0.0
20048	38	3425	5	0	0	0	0	1	0	2048	0	20480	0	0	0	22528	3364	0	53176	150	31	119	56690	0	0	0	0	0	0.0	0.0	0.0	0.0
20049	38	3681	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	2623	0	52475	148	30	118	55246	0	0	0	0	0	0.0	0.0	0.0	0.0
20050	38	3937	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	3527	0	53088	190	36	154	56805	0	0	0	0	0	0.0	0.0	0.0	0.0
20051	40	97	1	0	0	0	0	1	0	1024	0	5120	8192	8192	0	14336	1491	0	12239	20995	20879	116	34725	0	0	0	0	0	0.0	0.0	0.0	0.0
20052	41	97	0	0	64	128	16	1	6144	1024	2048	204800	3072	3072	0	210944	2212	5469	511249	7849	7465	384	526779	1	256	259324	251820	105	103844.00641635296	100839.09586373033	42.04632303110033	799.5433682815753
20053	42	129	0	0	64	128	16	1	6144	1024	1024	150528	3072	3072	0	155648	2264	2371	378054	7575	7282	293	390264	1	256	212775	165115	164	84860.5128835865	65852.39612159974	65.40770350326959	588.7223008015087
