depth	round	execution_index	returncode	mismatch	max_abs	max_rel	hash	l05_ms	l1_ms	l2_ms
16	32	3	1	162	0.078125	10742.188	621738651f623f5b	11.385856	11.400256	12.247040
2	32	4	0	0	0.015625	3.2	2398bfeb94e20663	1.423648	1.430400	1.527808
4	32	5	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.844800	2.840512	3.050496
8	33	0	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.696512	5.695232	6.151072
12	33	1	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.564544	8.531968	9.168896
16	33	2	1	162	0.078125	10742.188	621738651f623f5b	11.380736	11.379552	12.171328
2	33	3	0	0	0.015625	3.2	2398bfeb94e20663	1.423680	1.425408	1.523360
4	33	4	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.845696	2.848864	3.059712
6	33	5	0	0	0.03125	2929.6875	34776df8054c3c2c	4.267072	4.265984	4.594688
12	34	0	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.537056	8.541088	9.163712
16	34	1	1	162	0.078125	10742.188	621738651f623f5b	11.380736	11.398144	12.229632
2	34	2	0	0	0.015625	3.2	2398bfeb94e20663	1.424128	1.425504	1.532928
4	34	3	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.847456	2.847744	3.070976
6	34	4	0	0	0.03125	2929.6875	34776df8054c3c2c	4.265984	4.277248	4.609024
8	34	5	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.694336	5.707872	6.153280
16	35	0	1	162	0.078125	10742.188	621738651f623f5b	11.864064	11.412480	12.329984
2	35	1	0	0	0.015625	3.2	2398bfeb94e20663	1.422688	1.424480	1.523488
4	35	2	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.844800	2.848768	3.059712
6	35	3	0	0	0.03125	2929.6875	34776df8054c3c2c	4.270080	4.261760	4.570784
8	35	4	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.696512	5.697632	6.138592
12	35	5	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.545088	8.570944	9.190400
2	36	0	0	0	0.015625	3.2	2398bfeb94e20663	1.424448	1.425472	1.530208
4	36	1	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.848416	3.055616
6	36	2	0	0	0.03125	2929.6875	34776df8054c3c2c	4.268352	4.265984	4.620288
8	36	3	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.694464	5.708544	6.137856
12	36	4	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.903584	8.543328	9.166080
16	36	5	1	162	0.078125	10742.188	621738651f623f5b	11.382400	11.374656	12.282784
4	37	0	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.847584	2.846752	3.059712
6	37	1	0	0	0.03125	2929.6875	34776df8054c3c2c	4.269952	4.270144	4.581120
8	37	2	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.692416	5.693440	6.124640
12	37	3	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.544096	8.536928	9.213952
16	37	4	1	162	0.078125	10742.188	621738651f623f5b	11.383808	11.371520	12.253184
2	37	5	0	0	0.015625	3.2	2398bfeb94e20663	1.424384	1.427456	1.531680
6	38	0	0	0	0.03125	2929.6875	34776df8054c3c2c	4.270112	4.272128	4.580352
8	38	1	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.697152	5.699584	6.163360
12	38	2	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.569952	8.549216	9.178112
16	38	3	1	162	0.078125	10742.188	621738651f623f5b	11.384832	11.381856	12.279808
2	38	4	0	0	0.015625	3.2	2398bfeb94e20663	1.424384	1.427232	1.531520
4	38	5	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.843648	3.073024
8	39	0	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.696384	5.680960	6.140928
12	39	1	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.538304	8.548448	9.161632
16	39	2	1	162	0.078125	10742.188	621738651f623f5b	11.727872	11.411520	12.238848
2	39	3	0	0	0.015625	3.2	2398bfeb94e20663	1.425408	1.427552	1.527520
4	39	4	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846528	2.840576	3.066688
6	39	5	0	0	0.03125	2929.6875	34776df8054c3c2c	4.271968	4.275040	4.596736
12	40	0	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.539136	8.530944	9.183904
16	40	1	1	162	0.078125	10742.188	621738651f623f5b	11.380736	11.428704	12.254912
2	40	2	0	0	0.015625	3.2	2398bfeb94e20663	1.424480	1.428384	1.523680
4	40	3	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846688	2.847840	3.054912
6	40	4	0	0	0.03125	2929.6875	34776df8054c3c2c	4.268320	4.268032	4.591616
8	40	5	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.694464	5.696576	6.148416
16	41	0	1	162	0.078125	10742.188	621738651f623f5b	11.384832	11.375648	12.231680
2	41	1	0	0	0.015625	3.2	2398bfeb94e20663	1.423360	1.427424	1.531904
4	41	2	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.847648	2.847744	3.061760
6	41	3	0	0	0.03125	2929.6875	34776df8054c3c2c	4.269184	4.269056	4.585536
8	41	4	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.695488	5.702720	6.133760
12	41	5	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.543232	8.556640	9.192448
2	42	0	0	0	0.015625	3.2	2398bfeb94e20663	1.424384	1.426432	1.532864
