stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
102	serving.s102	rmsnorm	4	2908489.7110595824	2913243.3094669404	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
103	serving.s103	swiglu_gemm	96	2914478.7212679405	2976518.2321656933	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
104	serving.s104	gemm	64	2977753.6439666934	3011425.8168318742	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
105	serving.s105	rmsnorm	4	3012661.2286328743	3017414.8270402323	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
106	serving.s106	gemm	128	3018650.2388412324	3042415.2809162885	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
107	serving.s107	fused_attention	160	3043650.6927172886	3116442.382509225	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
108	serving.s108	attention_merge	32	3114217.2739758249	3122558.6622728063	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
109	serving.s109	gemm	64	3123794.0740738064	3138971.0984355332	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
110	serving.s110	rmsnorm	4	3140206.5102365334	3144960.1086438913	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
111	serving.s111	swiglu_gemm	96	3146195.5204448914	3208235.0313426442	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
112	serving.s112	gemm	64	3209470.4431436444	3243142.6160088251	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
113	serving.s113	rmsnorm	4	3244378.0278098253	3249131.6262171832	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
114	serving.s114	gemm	128	3250367.0380181833	3274132.0800932394	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
115	serving.s115	fused_attention	160	3275367.4918942396	3348159.181686176	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
116	serving.s116	attention_merge	32	3345934.0731527759	3354275.4614497572	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
117	serving.s117	gemm	64	3355510.8732507573	3370687.8976124842	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
118	serving.s118	rmsnorm	4	3371923.3094134843	3376676.9078208422	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
119	serving.s119	swiglu_gemm	96	3377912.3196218424	3439951.8305195952	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
120	serving.s120	gemm	64	3441187.2423205953	3474859.4151857761	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
121	serving.s121	rmsnorm	4	3476094.8269867762	3480848.4253941341	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
122	serving.s122	gemm	128	3482083.8371951343	3505848.8792701904	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
123	serving.s123	fused_attention	160	3507084.2910711905	3579875.9808631269	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
124	serving.s124	attention_merge	32	3577650.8723297268	3585992.2606267082	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
125	serving.s125	gemm	64	3587227.6724277083	3602404.6967894351	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
126	serving.s126	rmsnorm	4	3603640.1085904352	3608393.7069977932	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
127	serving.s127	swiglu_gemm	96	3609629.1187987933	3671668.6296965461	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
128	serving.s128	gemm	64	3672904.0414975462	3706576.214362727	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
129	serving.s129	rmsnorm	4	3707811.6261637271	3712565.2245710851	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
130	serving.s130	gemm	128	3713800.6363720852	3737565.6784471413	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
