model	seq	kappa	round	arm	l1_ms	l2_ms
mha4	4	0	5	l1nosync	0.724992	0.866112
mha4	4	0	5	full	0.791552	0.864256
mha4	4	0	6	neither	0.792608	0.700224
mha4	4	0	6	l1nosync	0.724224	0.861184
mha4	4	0	6	full	0.792832	0.866080
mha4	4	0	6	nowait	0.793600	0.764672
mha4	4	0	7	l1nosync	0.724832	0.869376
mha4	4	0	7	full	0.792768	0.866432
mha4	4	0	7	nowait	0.789504	0.756736
mha4	4	0	7	neither	0.790528	0.702464
mha4	4	0	8	full	0.793824	0.865280
mha4	4	0	8	nowait	0.792576	0.758496
mha4	4	0	8	neither	0.790528	0.697344
mha4	4	0	8	l1nosync	0.724992	0.866304
mha4	4	0	9	nowait	0.794624	0.762880
mha4	4	0	9	neither	0.792576	0.700480
mha4	4	0	9	l1nosync	0.727936	0.865280
mha4	4	0	9	full	0.793600	0.866304
mha4	4	0	10	neither	0.793632	0.697344
mha4	4	0	10	l1nosync	0.726016	0.866560
mha4	4	0	10	full	0.793664	0.866304
mha4	4	0	10	nowait	0.792576	0.758624
mha4	4	0	11	l1nosync	0.719872	0.870176
mha4	4	0	11	full	0.791328	0.866976
mha4	4	0	11	nowait	0.790688	0.760800
mha4	4	0	11	neither	0.793600	0.695040
mha4	4	0	12	full	0.789504	0.868352
mha4	4	0	12	nowait	0.796672	0.770944
mha4	4	0	12	neither	0.791712	0.701312
mha4	4	0	12	l1nosync	0.724832	0.868352
mha4	4	0	13	nowait	0.792576	0.758656
mha4	4	0	13	neither	0.793600	0.702464
mha4	4	0	13	l1nosync	0.725856	0.869376
mha4	4	0	13	full	0.794272	0.864256
mha4	4	0	14	neither	0.794624	0.700416
mha4	4	0	14	l1nosync	0.719872	0.866304
mha4	4	0	14	full	0.791552	0.860160
mha4	4	0	14	nowait	0.795328	0.761856
mha4	4	0	15	l1nosync	0.720896	0.861184
mha4	4	0	15	full	0.791776	0.862880
mha4	4	0	15	nowait	0.797824	0.759808
mha4	4	0	15	neither	0.793760	0.697216
mha4	4	0	16	full	0.792576	0.867328
mha4	4	0	16	nowait	0.793472	0.762688
mha4	4	0	16	neither	0.792768	0.701600
mha4	4	0	16	l1nosync	0.718656	0.866304
mha4	4	0	17	nowait	0.792768	0.760832
mha4	4	0	17	neither	0.792736	0.700096
mha4	4	0	17	l1nosync	0.723968	0.860160
mha4	4	0	17	full	0.792800	0.870208
mha4	4	0	18	neither	0.791552	0.697344
mha4	4	0	18	l1nosync	0.731136	0.867136
mha4	4	0	18	full	0.792736	0.863232
mha4	4	0	18	nowait	0.791552	0.766624
mha4	4	0	19	l1nosync	0.725920	0.868352
mha4	4	0	19	full	0.793600	0.867328
mha4	4	0	19	nowait	0.791552	0.755488
mha4	4	0	19	neither	0.795712	0.702464
mha4	4	0	20	full	0.790720	0.862208
mha4	4	0	20	nowait	0.792704	0.756512
mha4	4	0	20	neither	0.794560	0.700608
mha4	4	0	20	l1nosync	0.723744	0.866304
mha4	4	0	21	nowait	0.790688	0.766304
mha4	4	0	21	neither	0.789504	0.701440
mha4	4	0	21	l1nosync	0.723968	0.866528
mha4	4	0	21	full	0.792576	0.868352
mha4	4	0	22	neither	0.791552	0.703488
mha4	4	0	22	l1nosync	0.723776	0.863232
mha4	4	0	22	full	0.792416	0.869248
mha4	4	0	22	nowait	0.794624	0.762816
mha4	4	0	23	l1nosync	0.719872	0.865120
mha4	4	0	23	full	0.795648	0.866304
mha4	4	0	23	nowait	0.792480	0.758464
mha4	4	0	23	neither	0.793280	0.701408
mha4	4	0	24	full	0.794624	0.867328
mha4	4	0	24	nowait	0.792608	0.762880
mha4	4	0	24	neither	0.792576	0.700416
