group	cell	round	ratio	rotate_log	legacy_log
reference	mha4_s128	0	0.9885889229056499	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r0.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r0.log
reference	mha4_s128	1	0.9853916430923341	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r1.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r1.log
reference	mha4_s128	2	0.8999720982142857	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r2.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r2.log
reference	mha4_s128	3	0.9809223930357474	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r3.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r3.log
reference	mha4_s128	4	0.9807407407407408	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r4.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r4.log
reference	mha4_s128	5	0.9763663220088626	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r5.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r5.log
reference	mha4_s128	6	0.9837251356238698	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r6.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r6.log
reference	mha4_s128	7	0.9822747415066471	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r7.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r7.log
reference	mha4_s128	8	0.9837037037037036	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r8.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r8.log
reference	mha4_s128	9	0.9807035361462468	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r9.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r9.log
reference	mha4_s128	10	0.9722822339692025	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r10.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r10.log
reference	mha4_s128	11	0.9867396142433233	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r11.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r11.log
reference	mha4_s128	12	0.9867776236708274	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/rotate__full/r12.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s128/measure/legacy_grid_stride__full/r12.log
