worker	producer_slot	consumer_slot	producer_stage	logical_task	event_index	group	fanin	model	seq	dump
2	148	149	28	2	151	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	149	150	29	2	153	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	150	151	30	2	155	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	158	159	38	2	178	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	159	160	39	2	186	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	160	161	40	2	188	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	162	163	42	2	194	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	163	164	43	2	198	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	164	165	44	2	200	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	165	166	45	2	202	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	173	174	53	2	225	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	174	175	54	2	233	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	175	176	55	2	235	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	177	178	57	2	241	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	178	179	58	2	245	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	180	181	0	3	61	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	188	189	8	3	84	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	189	190	9	3	92	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	190	191	10	3	94	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	192	193	12	3	100	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	193	194	13	3	104	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	194	195	14	3	106	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	195	196	15	3	108	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	203	204	23	3	131	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	204	205	24	3	139	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	205	206	25	3	141	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	207	208	27	3	147	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	208	209	28	3	151	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	209	210	29	3	153	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	210	211	30	3	155	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	218	219	38	3	178	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	219	220	39	3	186	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	220	221	40	3	188	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	222	223	42	3	194	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	223	224	43	3	198	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	224	225	44	3	200	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	225	226	45	3	202	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	233	234	53	3	225	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	234	235	54	3	233	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	235	236	55	3	235	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	237	238	57	3	241	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
3	238	239	58	3	245	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	0	1	0	0	60	0	2	mha4	128	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s128
0	13	14	8	256	769	128	2	mha4	128	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s128
0	14	15	9	0	897	0	2	mha4	128	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s128
0	15	16	10	0	899	0	2	mha4	128	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s128
0	17	18	12	0	967	0	2	mha4	128	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s128
