model	seq	past	producer	consumer	wait_sum	fanout_sum	count	volume	old_wait_sum	changed
gqa2	4	512	19	23	16	16	16	128	16	0
gqa2	4	512	21	23	64	64	16	128	8256	1
gqa2	4	512	22	23	64	64	16	128	8256	1
gqa2	4	512	23	24	64	64	4	128	2048	1
gqa2	4	512	24	24	4	4	4	16384	4	0
gqa2	4	512	14	24	4	4	4	16384	4	0
gqa2	4	512	24	25	16	16	4	128	16	0
gqa2	4	512	25	26	32	32	8	512	1024	1
gqa2	4	512	25	27	32	32	8	512	1024	1
gqa2	4	512	26	28	32	32	4	128	32	0
gqa2	4	512	27	28	32	32	4	128	32	0
gqa2	4	512	28	29	16	16	4	1024	512	1
gqa2	4	512	29	29	4	4	4	16384	4	0
gqa2	4	512	24	29	4	4	4	16384	4	0
gqa2	128	512	0	1	512	512	4	512	512	0
gqa2	128	512	0	2	256	256	2	512	256	0
gqa2	128	512	0	3	256	256	2	512	256	0
gqa2	128	512	1	4	512	512	512	128	512	0
gqa2	128	512	2	5	256	256	256	128	256	0
gqa2	128	512	5	6	256	256	256	128	256	0
gqa2	128	512	3	7	256	256	256	128	256	0
gqa2	128	512	4	8	512	512	512	128	512	0
gqa2	128	512	6	8	65536	65536	512	128	327680	1
gqa2	128	512	7	8	65536	65536	512	128	327680	1
gqa2	128	512	8	9	2048	2048	4	128	2048	0
gqa2	128	512	9	9	4	4	4	16384	4	0
