rank	key	flow_ns	residency	kappa	error
139	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k16;64x128x16s2k32;kappa=1;residency=3	4737523.6326913945	3	1	
140	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	4848648.7706871713	3	1	
141	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k16;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=6	4851343.7792585408	6	1	
142	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k8;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4866240.3743564272	4	1	
143	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=3	4878328.7161014602	3	1	
144	32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;kappa=1;residency=6	4896443.5203011688	6	1	
145	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=4	4942464.3554914454	4	1	
146	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=3	4946511.0307476697	3	2	
147	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=4;residency=3	4946511.0307476697	3	4	
148	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k32;64x128x16s2k32;kappa=1;residency=3	4954313.1512050647	3	1	
149	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=2	4964412.9815306216	2	1	
150	32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;kappa=2;residency=6	4969896.9429479213	6	2	
151	32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;kappa=4;residency=6	4969896.9429479213	6	4	
152	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k16;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4985632.2187569914	6	1	
153	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=4	5010646.6701376559	4	2	
154	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=4;residency=4	5010646.6701376559	4	4	
155	32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;32x16x32s2k8;kappa=1;residency=5	5027408.544594733	5	1	
156	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=2;residency=2	5032595.2961768303	2	2	
157	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=4;residency=2	5032595.2961768303	2	4	
158	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=6	5057212.9450596105	6	1	
159	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k4;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	5061098.2292168122	3	1	
