slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
104	5	0	0	0	1	0	1789794413215167488	1095106856786	1789794413215168512	1095106858985	1789794413215168512	1095106858985	1789794413215195136	1095106924937	1789794413215195136	1095106924967	1789794413215195136	1095106925097	0	0	0	0	56	2
105	0	32	16	32	1	3072	1789794413215200256	1095106938481	1789794413215201280	1095106941712	1789794413215202304	1095106943277	1789794413215213568	1095106971190	1789794413215214592	1095106974893	1789794413215214592	1095106975022	1095106943340	1095106971043	7532	16	0	0
106	1	0	0	0	1	0	1789794413215218688	1095106985808	1789794413215219712	1095106986414	1789794413215219712	1095106986414	1789794413215220736	1095106989522	1789794413215221760	1095106991994	1789794413215221760	1095106992130	0	0	0	0	108	8
107	0	32	16	32	1	3072	1789794413215224832	1095107000197	1789794413215225856	1095107001658	1789794413215225856	1095107002712	1789794413215236096	1095107027319	1789794413215236096	1095107029809	1789794413215237120	1095107030027	1095107003676	1095107027209	6284	16	0	0
108	4	0	0	0	1	0	1789794413215244288	1095107050067	1789794413215245312	1095107051002	1789794413215245312	1095107051002	1789794413215247360	1095107057158	1789794413215247360	1095107057188	1789794413215247360	1095107057322	0	0	0	0	0	0
109	0	32	16	32	1	3072	1789794413215250432	1095107063463	1789794413215250432	1095107065718	1789794413215251456	1095107067016	1789794413215266816	1095107106613	1789794413215267840	1095107109157	1789794413215267840	1095107109292	1095107067089	1095107106514	14206	32	0	0
110	1	0	0	0	1	0	1789794413215270912	1095107115110	1789794413215270912	1095107116341	1789794413215270912	1095107116341	1789794413215271936	1095107119668	1789794413215272960	1095107121707	1789794413215272960	1095107121839	0	0	0	0	96	8
111	0	32	16	32	1	3072	1789794413215275008	1095107127023	1789794413215276032	1095107129304	1789794413215277056	1095107130562	1789794413215284224	1095107150203	1789794413215285248	1095107151115	1789794413215285248	1095107151245	1095107130657	1095107150091	6293	16	0	0
112	2	0	0	0	1	0	1789794413215289344	1095107163005	1789794413215290368	1095107164372	1789794413215290368	1095107164372	1789794413215290368	1095107166212	1789794413215290368	1095107166242	1789794413215290368	1095107166389	0	0	0	0	0	0
113	3	0	0	0	1	0	1789794413215292416	1095107169894	1789794413215293440	1095107171890	1789794413215293440	1095107171890	1789794413215293440	1095107172901	1789794413215293440	1095107172932	1789794413215293440	1095107173090	0	0	0	0	0	0
