cell	config	selected	l2_ms	l2_ms_lo	l2_ms_hi	wait_ms	wait_ms_lo	wait_ms_hi	notify_ms	notify_ms_lo	notify_ms_hi	barrier_ms	barrier_ms_lo	barrier_ms_hi	fence_ms	fence_ms_lo	fence_ms_hi	protocol_ms	protocol_ms_lo	protocol_ms_hi	protocol_barrier	protocol_barrier_lo	protocol_barrier_hi	l2_l1	l2_l1_lo	l2_l1_hi	relative_selected	relative_selected_lo	relative_selected_hi	relative_legacy	relative_legacy_lo	relative_legacy_hi	nonpositive_barrier_pairs	zero_barrier_pairs	cp_ns	queue_lb_ns	floor_ns	measured_floor	trace
mha4_s128	rotate	rotate	0.54784	0.546816	0.54784	0.221184	0.22015999999999997	0.22220800000000002	0.019071999999999978	0.018432000000000004	0.01945600000000003	0.142528	0.14233600000000002	0.143328	0.03180800000000006	0.03148799999999996	0.03295999999999999	0.239616	0.239616	0.24064000000000002	1.6800538478797387	1.6732960893854754	1.6876126126126128	0.7720057720057719	0.7713458755426919	0.773121387283237	1.0	1.0	1.0	0.7347149367959411	0.7333590833011459	0.7364850358538366	0	0	438272	328704.0	438272	1.25	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/rotate__full/dump
mha4_s128	wavefront	rotate	0.571264	0.570368	0.571392	0.141312	0.140384	0.14233600000000002	0.029344000000000037	0.028671999999999975	0.029952000000000034	0.142528	0.14233600000000002	0.14336000000000004	0.025599999999999956	0.024608000000000074	0.026463999999999932	0.170848	0.16998399999999997	0.17110399999999998	1.198697799730579	1.1934835974112916	1.2020089285714293	0.8051409244644869	0.8047326589595375	0.8054755043227667	1.0430711610486891	1.041044776119403	1.0447097378277155	0.7669386002576212	0.7654320987654321	0.7680549592099614	0	0	467968	433152.0	467968	1.2207330415754925	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/wavefront__full/dump
mha4_s128	eft	rotate	0.618496	0.617472	0.618496	0.158688	0.157696	0.15872000000000003	0.030911999999999995	0.030687999999999993	0.031743999999999994	0.14313600000000004	0.14249600000000007	0.14336000000000004	0.032543999999999906	0.031743999999999994	0.03276800000000002	0.18944	0.18857599999999997	0.18963200000000002	1.325134168157424	1.3184419014084507	1.3298111510791366	0.8717301100487101	0.8713917875050821	0.8726517341040463	1.1304906542056075	1.1287383177570094	1.1310163551401868	0.8296703296703297	0.8282967032967034	0.8319291609353507	0	0	518144	462848.0	518144	1.1936758893280632	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/eft__full/dump
mha4_s128	chain	rotate	0.673792	0.673024	0.674816	0.3051519999999999	0.30412799999999995	0.30515200000000003	0.021503999999999968	0.020320000000000005	0.02163200000000004	0.14326400000000006	0.14246400000000004	0.14336000000000004	0.03404799999999997	0.03369600000000006	0.03481600000000007	0.32486399999999993	0.32460799999999995	0.3264639999999999	2.2770466205665842	2.2674366948023104	2.280575539568345	0.9508670520231213	0.9495677233429395	0.9509954058192956	1.2299065420560746	1.2284644194756555	1.2328799249530957	0.9039501932159724	0.9027397260273973	0.9052197802197801	0	0	482304	287744.0	482304	1.3970276008492568	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/chain__full/dump
mha4_s128	legacy_grid_stride	rotate	0.74528	0.742496	0.745728	0.16892800000000008	0.165952	0.16924799999999995	0.03488000000000002	0.03391999999999995	0.03577600000000003	0.14233600000000002	0.14233600000000002	0.1432960000000001	0.030464000000000047	0.029695999999999945	0.03151999999999999	0.2035840000000001	0.20153600000000005	0.204608	1.4278695846359974	1.413722826086957	1.4357142857142853	1.050578034682081	1.0481138468488818	1.0520231213872833	1.3610720973782773	1.3578008395522387	1.3635884831460674	1.0	1.0	1.0	0	0	453632	491520.0	491520.0	1.5162760416666667	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/legacy_grid_stride__full/dump
mha4_s128	balanced	rotate	1.140736	1.139712	1.141664	0.6541440000000001	0.653216	0.6553599999999999	0.03366399999999997	0.03260799999999997	0.03379199999999999	0.14259200000000005	0.14233600000000002	0.14336000000000004	0.08704	0.08601600000000009	0.08831999999999995	0.6871039999999999	0.68608	0.6881280000000001	4.812949640287769	4.798573975044566	4.826378040615936	1.608970880810273	1.6075036075036073	1.6098265895953756	2.0842696629213484	2.082089552238806	2.0866104868913857	1.5310676278750432	1.528846153846154	1.5346889435738031	0	0	434176	445440.0	445440.0	2.560919540229885	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/balanced__full/dump
mha4_s128	protocol_off	rotate	0.551936	0.550912	0.551936	0.200704	0.19967999999999997	0.20172799999999996	0.038975999999999955	0.038688	0.039903999999999995	0.15769599999999995	0.15667200000000003	0.15849600000000008	0.023424	0.021503999999999968	0.02361599999999997	0.23974399999999996	0.23961599999999994	0.24086400000000002	1.5247324853624058	1.5194805194805185	1.530228758169934	0.762612194367069	0.7620396600566571	0.7634560906515581	1.0074766355140188	1.0056074766355139	1.00936329588015	0.7401304497082046	0.7392331143458284	0.741929945054945	0	0	415744	317440.0	415744	1.3275862068965518	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/protocol_off__full/dump
mha4_s128	c1	rotate	0.540576	0.539648	0.540672	0.21606400000000003	0.21507200000000004	0.21708799999999995	0.017120000000000024	0.015583999999999987	0.017471999999999988	0.14233600000000002	0.142208	0.14259200000000005	0.025504000000000082	0.02473599999999998	0.026464000000000043	0.23260799999999998	0.23244800000000004	0.23347199999999996	1.633116153673332	1.6251685393258433	1.6473244524723418	0.7624214476242145	0.7616226483357452	0.76317810199196	0.9873944652908065	0.9850746268656717	0.9887640449438203	0.7251190936011331	0.7240875912408758	0.7278355834551551	0	0	395264	297984.0	395264	1.3676327720207253	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/c1__full/dump
mha4_s128	c2	rotate	0.541696	0.540736	0.541888	0.21708800000000006	0.21683199999999997	0.21811199999999997	0.01638400000000001	0.016383999999999954	0.017311999999999994	0.14233600000000002	0.14179200000000003	0.143424	0.026847999999999983	0.026624000000000092	0.027648000000000006	0.23449599999999998	0.23344000000000004	0.23471999999999998	1.6400629496402879	1.631684047037941	1.6474053931565833	0.764328040892025	0.7633477633477632	0.7651296829971183	0.9891355140186917	0.9886682242990654	0.9906367041198502	0.7271361099184198	0.7262139248094545	0.7292817679558011	0	0	435200	326656.0	435200	1.244705882352941	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/c2__full/dump
mha4_s128	c3	rotate	0.541696	0.5416	0.54272	0.217024	0.21612799999999993	0.21811199999999997	0.01740799999999998	0.017247999999999986	0.017503999999999964	0.142528	0.14233600000000002	0.1435200000000001	0.026687999999999934	0.025760000000000005	0.027648000000000006	0.23443200000000003	0.23347200000000007	0.23449599999999998	1.6399286987522272	1.635714285714285	1.6460017969451926	0.7638238472622478	0.7633477633477632	0.764450867052023	0.9906367041198502	0.9884561567164178	0.9908294392523364	0.7270233196159122	0.7261558219178083	0.7290394702897927	0	0	435200	330752.0	435200	1.244705882352941	/root/TileMega/docs/experiments/REBASE/raw/mha4_s128/trace/c3__full/dump
