group	round	sample	l1_ms	l2_ms	status
correct_gqa2_s128_rotate	-	35	0.534272	0.417888	PASS
correct_gqa2_s128_rotate	-	36	0.533568	0.417664	PASS
correct_gqa2_s128_rotate	-	37	0.534144	0.418272	PASS
correct_gqa2_s128_rotate	-	38	0.533472	0.418464	PASS
correct_gqa2_s128_rotate	-	39	0.534624	0.418560	PASS
correct_gqa2_s128_rotate	-	4	0.534272	0.418336	PASS
correct_gqa2_s128_rotate	-	40	0.534912	0.418048	PASS
correct_gqa2_s128_rotate	-	41	0.533824	0.418080	PASS
correct_gqa2_s128_rotate	-	42	0.534464	0.418976	PASS
correct_gqa2_s128_rotate	-	43	0.534176	0.418528	PASS
correct_gqa2_s128_rotate	-	44	0.533600	0.418432	PASS
correct_gqa2_s128_rotate	-	45	0.534176	0.420608	PASS
correct_gqa2_s128_rotate	-	46	0.534848	0.418336	PASS
correct_gqa2_s128_rotate	-	47	0.534720	0.418656	PASS
correct_gqa2_s128_rotate	-	48	0.533568	0.418688	PASS
correct_gqa2_s128_rotate	-	49	0.533056	0.418496	PASS
correct_gqa2_s128_rotate	-	5	0.536224	0.419104	PASS
correct_gqa2_s128_rotate	-	50	0.534336	0.418272	PASS
correct_gqa2_s128_rotate	-	6	0.532736	0.417760	PASS
correct_gqa2_s128_rotate	-	7	0.535008	0.419776	PASS
correct_gqa2_s128_rotate	-	8	0.533504	0.418176	PASS
correct_gqa2_s128_rotate	-	9	0.534688	0.418336	PASS
correct_gqa2_s128_wavefront	-	1	0.535040	0.428096	PASS
correct_gqa2_s128_wavefront	-	10	0.534496	0.427872	PASS
correct_gqa2_s128_wavefront	-	11	0.535104	0.428544	PASS
correct_gqa2_s128_wavefront	-	12	0.534112	0.428128	PASS
correct_gqa2_s128_wavefront	-	13	0.534272	0.428224	PASS
correct_gqa2_s128_wavefront	-	14	0.535168	0.428160	PASS
correct_gqa2_s128_wavefront	-	15	0.533856	0.427776	PASS
correct_gqa2_s128_wavefront	-	16	0.534400	0.428320	PASS
correct_gqa2_s128_wavefront	-	17	0.533952	0.427488	PASS
correct_gqa2_s128_wavefront	-	18	0.535264	0.428064	PASS
correct_gqa2_s128_wavefront	-	19	0.535040	0.427712	PASS
correct_gqa2_s128_wavefront	-	2	0.534176	0.426880	PASS
correct_gqa2_s128_wavefront	-	20	0.534656	0.428480	PASS
correct_gqa2_s128_wavefront	-	21	0.534560	0.428960	PASS
correct_gqa2_s128_wavefront	-	22	0.535200	0.427776	PASS
correct_gqa2_s128_wavefront	-	23	0.534624	0.428128	PASS
correct_gqa2_s128_wavefront	-	24	0.534688	0.428160	PASS
correct_gqa2_s128_wavefront	-	25	0.535104	0.427808	PASS
correct_gqa2_s128_wavefront	-	26	0.533920	0.428608	PASS
correct_gqa2_s128_wavefront	-	27	0.538464	0.428128	PASS
correct_gqa2_s128_wavefront	-	28	0.535200	0.428768	PASS
correct_gqa2_s128_wavefront	-	29	0.534976	0.428960	PASS
correct_gqa2_s128_wavefront	-	3	0.535072	0.428960	PASS
correct_gqa2_s128_wavefront	-	30	0.534976	0.427808	PASS
correct_gqa2_s128_wavefront	-	31	0.534304	0.432096	PASS
correct_gqa2_s128_wavefront	-	32	0.533088	0.428192	PASS
correct_gqa2_s128_wavefront	-	33	0.535552	0.428320	PASS
correct_gqa2_s128_wavefront	-	34	0.533696	0.428160	PASS
correct_gqa2_s128_wavefront	-	35	0.534624	0.429632	PASS
correct_gqa2_s128_wavefront	-	36	0.534944	0.428384	PASS
correct_gqa2_s128_wavefront	-	37	0.535072	0.428864	PASS
correct_gqa2_s128_wavefront	-	38	0.534752	0.429408	PASS
correct_gqa2_s128_wavefront	-	39	0.534720	0.428480	PASS
correct_gqa2_s128_wavefront	-	4	0.536064	0.428000	PASS
correct_gqa2_s128_wavefront	-	40	0.535328	0.426752	PASS
correct_gqa2_s128_wavefront	-	41	0.536032	0.428960	PASS
correct_gqa2_s128_wavefront	-	42	0.535040	0.426912	PASS
correct_gqa2_s128_wavefront	-	43	0.535136	0.428608	PASS
correct_gqa2_s128_wavefront	-	44	0.534880	0.428512	PASS
correct_gqa2_s128_wavefront	-	45	0.534080	0.427264	PASS
correct_gqa2_s128_wavefront	-	46	0.535008	0.426944	PASS
correct_gqa2_s128_wavefront	-	47	0.535232	0.429056	PASS
correct_gqa2_s128_wavefront	-	48	0.534176	0.428192	PASS
correct_gqa2_s128_wavefront	-	49	0.534848	0.428224	PASS
correct_gqa2_s128_wavefront	-	5	0.534688	0.428448	PASS
correct_gqa2_s128_wavefront	-	50	0.535072	0.428544	PASS
correct_gqa2_s128_wavefront	-	6	0.534688	0.428512	PASS
correct_gqa2_s128_wavefront	-	7	0.535584	0.429504	PASS
correct_gqa2_s128_wavefront	-	8	0.533664	0.426528	PASS
correct_gqa2_s128_wavefront	-	9	0.534592	0.428320	PASS
correct_gqa2_s4_balanced	-	1	0.339712	0.542336	PASS
correct_gqa2_s4_balanced	-	10	0.338272	0.540832	PASS
correct_gqa2_s4_balanced	-	11	0.338400	0.542944	PASS
correct_gqa2_s4_balanced	-	12	0.340384	0.542496	PASS
correct_gqa2_s4_balanced	-	13	0.340192	0.543264	PASS
correct_gqa2_s4_balanced	-	14	0.339936	0.542784	PASS
correct_gqa2_s4_balanced	-	15	0.340128	0.541376	PASS
correct_gqa2_s4_balanced	-	16	0.338080	0.542496	PASS
correct_gqa2_s4_balanced	-	17	0.339712	0.542784	PASS
correct_gqa2_s4_balanced	-	18	0.340672	0.541024	PASS
correct_gqa2_s4_balanced	-	19	0.338176	0.541120	PASS
correct_gqa2_s4_balanced	-	2	0.337760	0.541184	PASS
correct_gqa2_s4_balanced	-	20	0.340544	0.542912	PASS
correct_gqa2_s4_balanced	-	21	0.340480	0.543392	PASS
correct_gqa2_s4_balanced	-	22	0.340416	0.542688	PASS
correct_gqa2_s4_balanced	-	23	0.339872	0.542592	PASS
