slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
71	0	32	16	64	1	6144	1789794416970004480	1098696021355	1789794416970005504	1098696023519	1789794416970006528	1098696024532	1789794416970009600	1098696034135	1789794416970010624	1098696035091	1789794416970010624	1098696035382	1098696024654	1098696034041	1587	8	0	0
72	2	0	0	0	1	0	1789794416970012672	1098696040647	1789794416970012672	1098696041936	1789794416970012672	1098696041936	1789794416970013696	1098696043493	1789794416970013696	1098696043523	1789794416970013696	1098696043652	0	0	0	0	0	0
73	3	0	0	0	1	0	1789794416970014720	1098696047365	1789794416970015744	1098696048515	1789794416970015744	1098696048515	1789794416970015744	1098696049437	1789794416970015744	1098696049467	1789794416970015744	1098696049597	0	0	0	0	0	0
74	5	0	0	0	1	0	1789794416970017792	1098696054854	1789794416970018816	1098696056537	1789794416970018816	1098696056537	1789794416970021888	1098696064727	1789794416970021888	1098696064759	1789794416970021888	1098696064889	0	0	0	0	52	2
75	0	32	16	64	1	6144	1789794416970023936	1098696070146	1789794416970024960	1098696072309	1789794416970025984	1098696073366	1789794416970029056	1098696082714	1789794416970030080	1098696084596	1789794416970030080	1098696084726	1098696073439	1098696082620	1277	8	0	0
76	1	0	0	0	1	0	1789794416970032128	1098696090011	1789794416970032128	1098696091350	1789794416970032128	1098696091350	1789794416970034176	1098696094197	1789794416970034176	1098696095965	1789794416970034176	1098696096095	0	0	0	0	89	8
77	0	32	16	64	1	6144	1789794416970036224	1098696100884	1789794416970037248	1098696103048	1789794416970037248	1098696104072	1789794416970041344	1098696113410	1789794416970041344	1098696114353	1789794416970041344	1098696114484	1098696104161	1098696113316	1782	8	0	0
78	4	0	0	0	1	0	1789794416970043392	1098696119561	1789794416970044416	1098696120867	1789794416970044416	1098696120867	1789794416970046464	1098696127259	1789794416970046464	1098696127289	1789794416970046464	1098696127419	0	0	0	0	0	0
79	0	32	16	64	1	6144	1789794416970048512	1098696132362	1789794416970049536	1098696134544	1789794416970050560	1098696135560	1789794416970057728	1098696153838	1789794416970057728	1098696155759	1789794416970058752	1098696155888	1098696135679	1098696153744	3140	16	0	0
80	1	0	0	0	1	0	1789794416969820160	1098475085006	1789794416969821184	1098475086301	1789794416969821184	1098475086301	1789794416969822208	1098475089073	1789794416969822208	1098475090748	1789794416969823232	1098475090879	0	0	0	0	89	8
81	0	32	16	64	1	6144	1789794416969824256	1098475095389	1789794416969825280	1098475097522	1789794416969826304	1098475098565	1789794416969829376	1098475107824	1789794416969830400	1098475109023	1789794416969830400	1098475109302	1098475098638	1098475107730	1594	8	0	0
82	2	0	0	0	1	0	1789794416969832448	1098475114415	1789794416969832448	1098475115641	1789794416969832448	1098475115641	1789794416969833472	1098475117147	1789794416969833472	1098475117177	1789794416969833472	1098475117306	0	0	0	0	0	0
83	3	0	0	0	1	0	1789794416969834496	1098475120836	1789794416969835520	1098475121940	1789794416969835520	1098475121940	1789794416969835520	1098475122870	1789794416969835520	1098475122900	1789794416969835520	1098475123030	0	0	0	0	0	0
84	5	0	0	0	1	0	1789794416969837568	1098475128099	1789794416969838592	1098475129731	1789794416969838592	1098475129731	1789794416969841664	1098475137967	1789794416969841664	1098475137998	1789794416969841664	1098475138128	0	0	0	0	52	2
85	0	32	16	64	1	6144	1789794416969843712	1098475143709	1789794416969844736	1098475145829	1789794416969844736	1098475146829	1789794416969848832	1098475156171	1789794416969848832	1098475157779	1789794416969849856	1098475157909	1098475146959	1098475156077	1298	8	0	0
86	1	0	0	0	1	0	1789794416969851904	1098475163389	1789794416969851904	1098475164640	1789794416969851904	1098475164640	1789794416969852928	1098475167438	1789794416969853952	1098475169140	1789794416969853952	1098475169270	0	0	0	0	89	8
87	0	32	16	64	1	6144	1789794416969856000	1098475174995	1789794416969857024	1098475177130	1789794416969857024	1098475178214	1789794416969861120	1098475187477	1789794416969862144	1098475188896	1789794416969862144	1098475189172	1098475178240	1098475187383	2293	8	0	0
88	4	0	0	0	1	0	1789794416969864192	1098475194166	1789794416969864192	1098475195447	1789794416969864192	1098475195447	1789794416969867264	1098475201638	1789794416969867264	1098475201668	1789794416969867264	1098475201797	0	0	0	0	0	0
89	0	32	16	64	1	6144	1789794416969868288	1098475206600	1789794416969869312	1098475208718	1789794416969870336	1098475209711	1789794416969877504	1098475227982	1789794416969878528	1098475230049	1789794416969878528	1098475230179	1098475209846	1098475227888	2815	16	0	0
90	1	0	0	0	1	0	1789794416969880576	1098475235344	1789794416969880576	1098475236579	1789794416969880576	1098475236579	1789794416969881600	1098475239373	1789794416969882624	1098475241068	1789794416969882624	1098475241198	0	0	0	0	89	8
91	0	32	16	64	1	6144	1789794416969884672	1098475246238	1789794416969885696	1098475248332	1789794416969885696	1098475249376	1789794416969889792	1098475258715	1789794416969889792	1098475260132	1789794416969889792	1098475260262	1098475249446	1098475258621	1762	8	0	0
92	2	0	0	0	1	0	1789794416969891840	1098475265311	1789794416969892864	1098475266525	1789794416969892864	1098475266525	1789794416969892864	1098475268044	1789794416969892864	1098475268074	1789794416969892864	1098475268203	0	0	0	0	0	0
93	3	0	0	0	1	0	1789794416969894912	1098475271725	1789794416969894912	1098475272824	1789794416969894912	1098475272824	1789794416969894912	1098475273734	1789794416969894912	1098475273764	1789794416969895936	1098475273894	0	0	0	0	0	0
94	5	0	0	0	1	0	1789794416969897984	1098475279099	1789794416969897984	1098475280704	1789794416969897984	1098475280704	1789794416969901056	1098475288912	1789794416969901056	1098475288942	1789794416969901056	1098475289072	0	0	0	0	52	2
95	0	32	16	64	1	6144	1789794416969903104	1098475294210	1789794416969904128	1098475296318	1789794416969905152	1098475297324	1789794416969908224	1098475306663	1789794416969909248	1098475308263	1789794416969909248	1098475308393	1098475297446	1098475306569	1306	8	0	0
96	1	0	0	0	1	0	1789794416969911296	1098475314047	1789794416969912320	1098475315315	1789794416969912320	1098475315315	1789794416969913344	1098475318136	1789794416969913344	1098475319813	1789794416969913344	1098475319944	0	0	0	0	89	8
97	0	32	16	64	1	6144	1789794416969916416	1098475325521	1789794416969916416	1098475327636	1789794416969917440	1098475328633	1789794416969920512	1098475338043	1789794416969921536	1098475339234	1789794416969921536	1098475339365	1098475328752	1098475337949	2120	8	0	0
98	4	0	0	0	1	0	1789794416969923584	1098475345950	1789794416969924608	1098475347210	1789794416969924608	1098475347210	1789794416969926656	1098475353392	1789794416969926656	1098475353422	1789794416969926656	1098475353551	0	0	0	0	0	0
99	0	32	16	64	1	6144	1789794416969928704	1098475358374	1789794416969929728	1098475360490	1789794416969930752	1098475361483	1789794416969937920	1098475379549	1789794416969937920	1098475381151	1789794416969937920	1098475381281	1098475361618	1098475379455	2858	16	0	0
100	1	0	0	0	1	0	1789794416969939968	1098475386430	1789794416969940992	1098475387650	1789794416969940992	1098475387650	1789794416969942016	1098475390461	1789794416969942016	1098475392203	1789794416969942016	1098475392334	0	0	0	0	89	8
101	0	32	16	64	1	6144	1789794416969944064	1098475397311	1789794416969945088	1098475399411	1789794416969946112	1098475400406	1789794416969949184	1098475409645	1789794416969950208	1098475410824	1789794416969950208	1098475411110	1098475400525	1098475409551	1424	8	0	0
102	2	0	0	0	1	0	1789794416969952256	1098475416306	1789794416969952256	1098475417541	1789794416969952256	1098475417541	1789794416969953280	1098475419034	1789794416969953280	1098475419064	1789794416969953280	1098475419193	0	0	0	0	0	0
103	3	0	0	0	1	0	1789794416969954304	1098475422777	1789794416969955328	1098475423860	1789794416969955328	1098475423860	1789794416969955328	1098475424780	1789794416969955328	1098475424810	1789794416969955328	1098475424940	0	0	0	0	0	0
104	5	0	0	0	1	0	1789794416969957376	1098475429878	1789794416969958400	1098475431517	1789794416969958400	1098475431517	1789794416969961472	1098475439882	1789794416969961472	1098475439912	1789794416969961472	1098475440041	0	0	0	0	52	2
105	0	32	16	64	1	6144	1789794416969963520	1098475445086	1789794416969964544	1098475447187	1789794416969964544	1098475448183	1789794416969968640	1098475457459	1789794416969968640	1098475458812	1789794416969968640	1098475458941	1098475448310	1098475457365	1357	8	0	0
106	1	0	0	0	1	0	1789794416969970688	1098475464071	1789794416969971712	1098475465303	1789794416969971712	1098475465303	1789794416969972736	1098475468087	1789794416969972736	1098475469783	1789794416969973760	1098475469913	0	0	0	0	89	8
