stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
70	serving.s70	rmsnorm	1	1683232.0197517355	1688227.007048629	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
71	serving.s71	swiglu_gemm	128	1689462.4188496289	1774393.3615021429	225839.131008	532697.23737600003	9975135.855553776	137488.43558399999
72	serving.s72	gemm	64	1775628.7733031427	1821521.3713338019	112919.565504	213461.75289599999	2542000.7377701849	68744.217791999996
73	serving.s73	rmsnorm	1	1822756.7831348018	1827751.7704316953	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
74	serving.s74	gemm	96	1828987.1822326952	1849335.9109805105	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
75	serving.s75	fused_attention	72	1850571.3227815104	1860197.8239314565	127034.5111919998	181414.20321280009	99261.596536194906	77337.245016000015
76	serving.s76	attention_merge	8	1861433.2357324564	1867094.1029468982	14114.945688	14690.269152000001	7888.6956515330821	8593.0272239999995
77	serving.s77	gemm	64	1868329.5147478981	1884433.0416328129	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
78	serving.s78	rmsnorm	1	1885668.4534338128	1890663.4407307063	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
79	serving.s79	swiglu_gemm	128	1891898.8525317062	1976829.7951842202	225839.131008	532697.23737600003	9975135.855553776	137488.43558399999
80	serving.s80	gemm	64	1978065.2069852201	2023957.8050158792	112919.565504	213461.75289599999	2542000.7377701849	68744.217791999996
81	serving.s81	rmsnorm	1	2025193.2168168791	2030188.2041137726	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
82	serving.s82	gemm	96	2031423.6159147725	2051772.3446625879	169379.348256	269037.86419200001	1411944.4206542596	103116.326688
83	serving.s83	fused_attention	72	2053007.7564635877	2062634.2576135339	127034.5111919998	181414.20321280009	99261.596536194906	77337.245016000015
84	serving.s84	attention_merge	8	2063869.6694145338	2069530.5366289755	14114.945688	14690.269152000001	7888.6956515330821	8593.0272239999995
