slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
136	51	138	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1020	0	897	217	30	187	2134
137	51	394	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1124	0	684	225	30	195	2033
138	53	138	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	1743	0	47427	217	30	187	49387
139	53	394	5	0	0	0	0	1	0	0	0	17408	1024	0	1024	18432	1620	0	48524	218	31	187	50362
140	56	6	0	0	128	128	16	1	8192	1024	0	17408	4096	4096	0	22528	2194	1125	46995	10107	9574	533	60421
141	0	3	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1292	0	2222	1944	1756	188	5458
142	5	119	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1209	0	1480	217	31	186	2906
143	5	375	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1211	0	1699	221	30	191	3131
144	4	119	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1239	0	1690	215	30	185	3144
145	4	375	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1223	0	1482	215	30	185	2920
146	7	119	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1261	0	1149	219	34	185	2629
147	7	375	3	0	0	0	0	1	0	0	0	0	0	0	0	0	912	0	786	217	30	187	1915
148	6	119	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1128	0	786	217	30	187	2131
149	6	375	3	0	0	0	0	1	0	0	0	0	0	0	0	0	906	0	690	218	30	188	1814
150	8	119	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1722	0	57241	226	30	196	59189
151	8	375	5	0	0	0	0	1	0	2048	0	17408	0	0	0	19456	3312	0	48951	369	30	339	52632
152	10	115	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1194	0	2207	2658	2470	188	6059
153	15	95	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1187	0	2199	1887	1699	188	5273
154	20	211	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1225	0	1712	211	30	181	3148
