wait_index	producer	group
247	24	9
248	24	10
249	24	11
250	24	12
251	24	13
252	24	14
253	24	15
254	24	16
255	24	17
256	24	18
257	24	19
258	24	20
259	24	21
260	24	22
261	24	23
262	24	24
263	24	25
264	24	26
265	24	27
266	24	28
267	24	29
268	24	30
269	24	31
270	25	1
271	25	2
272	25	3
273	26	1
274	26	2
275	26	3
276	26	4
277	26	5
278	26	6
279	26	7
280	26	8
281	26	9
282	26	10
283	26	11
284	26	12
285	26	13
286	26	14
287	26	15
288	26	16
289	26	17
290	26	18
291	26	19
292	26	20
293	26	21
294	26	22
295	26	23
296	26	24
297	26	25
298	26	26
299	26	27
300	26	28
301	26	29
302	26	30
303	26	31
304	26	32
305	26	33
306	26	34
307	26	35
308	26	36
309	26	37
310	26	38
311	26	39
312	26	40
313	26	41
314	26	42
315	26	43
316	26	44
317	26	45
318	26	46
319	26	47
320	26	48
321	26	49
322	26	50
323	26	51
324	26	52
325	26	53
326	26	54
327	26	55
328	26	56
329	26	57
330	26	58
331	26	59
332	26	60
333	26	61
334	26	62
335	26	63
336	27	0
337	27	1
338	27	2
339	27	3
340	27	4
341	27	5
342	27	6
343	27	7
344	27	8
345	27	9
346	27	10
347	27	11
348	27	12
349	27	13
350	27	14
351	27	15
352	27	16
353	27	17
354	27	18
355	27	19
356	27	20
357	27	21
358	27	22
359	27	23
360	27	24
361	27	25
362	27	26
363	27	27
364	27	28
365	27	29
366	27	30
367	27	31
368	27	32
369	27	33
370	27	34
371	27	35
372	27	36
373	27	37
374	27	38
375	27	39
376	27	40
377	27	41
378	27	42
379	27	43
380	27	44
381	27	45
382	27	46
383	27	47
384	27	48
385	27	49
386	27	50
387	27	51
388	27	52
389	27	53
390	27	54
391	27	55
392	27	56
393	27	57
394	27	58
395	27	59
396	27	60
397	27	61
398	27	62
399	27	63
400	28	1
401	28	2
402	28	3
403	0	0
404	0	2
405	0	3
406	2	4294967295
407	4	13
408	6	4294967295
409	7	4294967295
410	8	0
411	8	1
412	8	2
413	8	3
414	8	4
415	8	5
416	8	6
417	8	7
418	8	8
419	8	9
420	8	10
421	8	11
422	8	12
423	8	14
424	8	15
425	9	0
426	9	2
427	9	3
428	9	4
429	9	5
430	9	6
431	9	7
432	9	8
433	9	9
434	9	10
435	9	11
436	9	12
437	9	13
438	9	14
439	9	15
440	9	16
441	9	17
442	9	18
443	9	19
444	9	20
445	9	21
446	9	22
447	9	23
448	9	24
449	9	25
450	9	26
451	9	27
452	9	28
453	9	29
454	9	30
455	9	31
456	10	0
457	10	2
458	10	3
459	11	0
460	11	2
461	11	3
462	11	4
463	11	5
464	11	6
465	11	7
466	11	8
467	11	9
468	11	10
469	11	11
470	11	12
471	11	13
472	11	14
473	11	15
474	11	16
475	11	17
476	11	18
477	11	19
478	11	20
479	11	21
480	11	22
481	11	23
482	11	24
483	11	25
484	11	26
485	11	27
486	11	28
487	11	29
488	11	30
489	11	31
490	11	32
491	11	33
492	11	34
493	11	35
494	11	36
495	11	37
496	11	38
497	11	39
498	11	40
499	11	41
500	11	42
501	11	43
502	11	44
503	11	45
504	11	46
505	11	47
506	11	48
507	11	49
508	11	50
509	11	51
510	11	52
511	11	53
512	11	54
513	11	55
514	11	56
515	11	57
516	11	58
517	11	59
518	11	60
519	11	61
520	11	62
521	11	63
522	12	0
523	12	1
524	12	2
525	12	3
526	12	4
527	12	5
528	12	6
529	12	7
530	12	8
531	12	9
532	12	10
533	12	11
534	12	12
535	12	13
536	12	14
537	12	15
538	12	16
539	12	17
540	12	18
541	12	19
542	12	20
543	12	21
544	12	22
545	12	23
546	12	24
547	12	25
548	12	26
549	12	27
550	12	28
551	12	29
552	12	30
553	12	31
554	12	32
555	12	33
556	12	34
557	12	35
558	12	36
559	12	37
560	12	38
561	12	39
562	12	40
