slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
2552	10	124	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1169	0	2167	1891	1704	187	5227
2553	13	124	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1174	0	5945	219	32	187	7338
2554	15	124	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1166	0	2166	1862	1674	188	5194
2555	20	124	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1195	0	1663	215	30	185	3073
2556	19	124	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1187	0	1665	216	30	186	3068
2557	19	380	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1192	0	1685	215	30	185	3092
2558	22	124	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1243	0	912	217	30	187	2372
2559	21	124	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	859	0	1096	217	32	185	2172
2560	23	124	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1714	0	56693	296	33	263	58703
2561	23	380	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	2412	0	48054	217	30	187	50683
2562	25	124	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1163	0	2166	1855	1667	188	5184
2563	28	124	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1174	0	5963	218	30	188	7355
2564	0	125	1	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1242	0	2216	1946	1758	188	5404
2565	5	125	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1168	0	1695	215	30	185	3078
2566	4	125	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1228	0	1662	215	30	185	3105
